id,111 front street,abingdon sq,abyssinian baptist church,american museum of natural history,battery park,bowling green,bridgemarket,brooklyn bridge,bryant park,cathedral of st john the divine,central park,chelsea art museum,chelsea hotel,childrens museum of manhattan,chinatown,chrysler building,city hall,colonnade row,columbus park,coney island boardwalk,drawing center,dumbo,east river park,eldridge st synagogue,ellis island,empire state building,federal hall,federal reserve bank,flatiron building,frick collection,gallery 128,grace church,grand central terminal,ground zero,herald square,historical society,hudson river park,lincoln center,madison sq park,merchants house museum,metropolitan museum of art,moma,mulberry st,museum at fit,museum of modern art,museum of sex,museum of television and radio,museum of the city of new york,national arts club,national museum of the american indian,neue galerie,new museum of contemporary art,new york aquarium,new york fire museum,new york marble cemetery,new york public library,new york stock exchange,new york transit museum,new york university,new-york historical society,pierpont morgan library,prospect park,radio city music hall,riverside church,riverside park,rockefeller center,schomburg center for research in black culture,sheridan square,solomon r guggenheim museum,south st seaport,st marks in the bowery,st patricks cathedral,st patricks old cathedral,st pauls chapel,staten island ferry,statue of liberty,studio museum,tenement museum,the dakota,tompkins square park,trinity church,union sq,united nations,washington mews,washington sq park,whitney museum of american art,wildlife center,wollman skating rink,world trade center site,yankee stadium
111 front street,0,16,23,26,8,10,14,3,17,30,20,17,18,29,11,14,7,13,9,26,12,2,8,10,29,19,10,8,19,22,12,17,15,7,20,25,18,25,17,13,25,21,9,20,21,20,21,24,17,225,24,11,25,12,15,18,10,6,13,25,18,15,20,30,25,20,23,15,23,7,15,18,12,7,29,9,25,11,24,12,8,19,12,16,15,16,27,21,10,24
abingdon sq,19,0,28,20,15,16,18,14,10,24,13,7,5,23,14,15,12,10,12,35,11,18,17,16,25,11,18,15,7,20,16,7,14,13,9,18,7,14,8,10,23,15,12,6,15,10,15,25,9,225,23,14,35,8,12,15,18,18,6,18,12,24,13,20,15,13,27,4,23,17,10,15,13,13,25,17,24,17,17,13,15,8,17,7,7,7,21,16,16,27
abyssinian baptist church,25,30,0,22,22,23,15,20,21,14,11,25,25,22,25,18,27,25,26,44,27,26,17,23,42,22,24,26,24,21,21,23,18,25,25,22,26,21,21,25,18,21,26,26,21,23,22,13,21,230,17,25,43,28,23,20,24,25,24,22,21,33,20,14,14,21,2,28,17,22,23,18,25,25,38,22,6,25,23,21,25,26,16,26,26,26,19,23,23,10
american museum of natural history,25,22,18,0,21,23,14,19,14,12,1,17,19,5,25,14,27,24,27,43,27,25,17,22,40,14,24,25,17,5,21,21,13,25,18,2,18,7,16,24,5,12,26,18,12,15,12,10,19,231,6,25,43,23,22,12,24,24,22,2,14,32,12,13,6,13,19,23,7,21,24,10,25,24,40,21,15,24,4,20,25,20,16,21,21,18,5,7,23,19
battery park,10,11,22,25,0,4,12,5,15,29,18,12,16,27,11,12,7,14,11,24,11,10,7,10,27,17,5,4,17,20,11,16,13,6,18,23,14,21,15,14,23,20,12,17,20,18,19,22,15,223,22,12,24,9,13,17,5,9,12,23,16,13,18,26,20,18,21,13,22,4,15,16,14,5,26,1,23,12,23,11,4,17,10,14,13,12,26,20,4,22
bowling green,11,11,22,26,1,0,13,5,16,29,19,12,15,28,12,13,7,15,11,24,11,11,7,11,26,18,4,4,17,21,11,16,14,6,18,24,13,21,16,15,24,20,13,17,20,19,20,23,16,223,23,13,24,8,13,17,4,10,12,24,17,13,19,25,20,19,22,13,22,5,16,16,15,5,26,2,24,12,23,11,5,17,11,14,13,11,26,20,3,23
bridgemarket,17,21,14,13,13,15,0,11,12,21,7,23,16,16,16,9,18,16,17,35,18,17,8,14,37,13,16,17,16,9,13,15,9,16,17,12,25,12,13,16,12,11,17,17,11,15,11,14,13,235,12,16,35,20,14,11,16,16,16,12,13,24,11,24,17,12,13,20,13,13,14,9,16,16,37,13,15,16,12,12,17,17,8,17,17,23,16,9,15,15
brooklyn bridge,5,13,21,24,6,7,11,0,14,28,17,14,15,26,8,11,4,11,6,26,9,6,6,7,26,16,7,6,16,19,10,14,12,4,17,22,15,22,14,11,22,19,7,17,19,17,18,21,14,225,21,9,25,9,12,16,7,5,10,22,15,15,17,28,22,17,20,12,21,4,13,15,9,4,26,6,22,9,22,10,6,16,9,13,12,14,24,18,7,21
bryant park,20,12,20,14,16,18,10,14,0,21,7,13,6,16,20,3,18,13,18,38,16,20,12,17,31,3,19,21,5,11,16,10,2,19,6,11,14,9,5,13,13,4,16,5,4,4,4,17,8,223,13,18,38,14,14,3,19,19,11,11,3,27,3,18,12,2,20,10,14,16,12,4,15,19,30,16,21,19,10,15,21,9,7,10,9,14,17,9,18,21
cathedral of st john the divine,33,25,12,13,28,31,22,28,22,0,4,20,22,14,31,24,30,31,29,49,29,34,25,30,43,25,32,32,25,16,29,29,24,30,25,13,21,17,25,31,13,19,30,23,19,26,21,9,28,233,14,33,48,25,30,23,32,33,28,13,25,38,19,4,5,20,12,26,13,29,32,21,31,30,42,30,8,33,15,29,31,28,24,29,29,21,11,17,29,18
central park,23,17,10,2,20,21,7,18,8,5,0,14,11,4,24,7,23,17,22,42,20,24,15,21,36,7,22,24,10,5,19,14,6,24,11,1,15,3,9,17,4,5,21,10,5,8,6,2,12,226,5,21,41,19,18,5,22,23,15,1,7,31,5,7,5,6,11,15,6,20,17,3,20,24,35,20,6,23,3,19,23,13,11,14,14,15,4,3,21,14
