111 front street,street_address
abingdon sq,route
abyssinian baptist church,church
american museum of natural history,museum
battery park,park
bowling green,park
bridgemarket,grocery_or_supermarket
brooklyn bridge,establishment
bryant park,park
cathedral of st john the divine,church
central park,park
chelsea art museum,art_gallery
chelsea hotel,lodging
childrens museum of manhattan,museum
chinatown,neighborhood
chrysler building,establishment
city hall,local_government_office
colonnade row,museum
columbus park,park
coney island boardwalk,route
drawing center,museum
dumbo,neighborhood
east river park,park
eldridge st synagogue,museum
ellis island,establishment
empire state building,museum
federal hall,museum
federal reserve bank,establishment
flatiron building,establishment
frick collection,museum
gallery 128,art_gallery
grace church,church
grand central terminal,transit_station
ground zero,establishment
herald square,town_square
historical society,museum
hudson river park,park
lincoln center,establishment
madison sq park,park
merchants house museum,museum
metropolitan museum of art,art_gallery
moma,art_gallery
mulberry st,route
museum at fit,museum
museum of modern art,museum
museum of sex,museum
museum of television and radio,museum
museum of the city of new york,museum
national arts club,art_gallery
national museum of the american indian,museum
neue galerie,museum
new museum of contemporary art,museum
new york aquarium,aquarium
new york fire museum,museum
new york marble cemetery,cemetery
new york public library,library
new york stock exchange,[ 'finance
new york transit museum,museum
new york university,university
new-york historical society,museum
pierpont morgan library,museum
prospect park,park
radio city music hall,establishment
riverside church,church
riverside park,park
rockefeller center,establishment
schomburg center for research in black culture,establishment
sheridan square,route
solomon r guggenheim museum,museum
south st seaport,route
st marks in the bowery,church
st patricks cathedral,church
st patricks old cathedral,church
st pauls chapel,church
staten island ferry,route
statue of liberty,establishment
studio museum,museum
tenement museum,museum
the dakota,establishment
tompkins square park,park
trinity church,church
union sq,political
united nations,establishment
washington mews,route
washington sq park,park
whitney museum of american art,museum
wildlife center,establishment
wollman skating rink,establishment
world trade center site,premise
yankee stadium,stadium
