eiffel tower,establishment
"musée du louvre,eiffel tower","museum,establishment"
eiffel tower,establishment
palais de tokyo,museum
"musée de la monnaie de paris,la seine","museum,political"
"hôtel des invalides,panthéon,place de la concorde,jardin du luxembourg,place du tertre,jardin du palais royal","museum,establishment,establishment,park,route,park"
"grande arche de la défense,palais de tokyo","establishment,museum"
grande arche de la défense,establishment
"eiffel tower,jardin du luxembourg","establishment,park"
eiffel tower,establishment
"place des vosges,eiffel tower","park,establishment"
basilique du sacré-cœur,church
la seine,political
"eiffel tower,musée de montmartre,pont neuf","establishment,museum,establishment"
jardin du luxembourg,park
place de la concorde,establishment
"place des vosges,champs-Élysées,place de la concorde","park,route,establishment"
assemblée nationale,establishment
arc de triomphe,establishment
"eiffel tower,musée de montmartre","establishment,museum"
"eiffel tower,jardin des tuileries","establishment,park"
centre pompidou,museum
"place de la bastille,jardin du luxembourg","route,park"
musée de lorangerie,museum
"basilique du sacré-cœur,eiffel tower,Église st-sulpice,jardin des tuileries","church,establishment,church,park"
cimetière de montmartre,cemetery
"eiffel tower,arc de triomphe","establishment,establishment"
musée de montmartre,museum
eiffel tower,establishment
"av des champs-Élysées,eiffel tower","route,establishment"
eiffel tower,establishment
"place de la madeleine,panthéon,arc de triomphe","route,establishment,establishment"
"eiffel tower,place du tertre,forum des halles,bourse de commerce,arc de triomphe","establishment,route,political,museum,establishment"
"grand palais,cimetière du père lachaise,centre pompidou","museum,cemetery,museum"
jardin du luxembourg,park
"hôtel des invalides,basilique du sacré-cœur,panthéon,petit palais,place de la concorde,cimetière de montmartre,musée de la monnaie de paris,place de la madeleine,jardin du luxembourg,eiffel tower,pont neuf,arc de triomphe,centre pompidou,gare montparnasse","museum,church,establishment,museum,establishment,cemetery,museum,route,park,establishment,establishment,establishment,museum,transit_station"
stade de france,establishment
"basilique du sacré-cœur,panthéon,musée grévin,place de la concorde,musée dart naïf max fourny,Église st-eustache,musée de la monnaie de paris,musée de lorangerie,eiffel tower,pont neuf,dalí espace,place du tertre,forum des halles,jeu de paume,jardin du palais royal","church,establishment,museum,establishment,museum,church,museum,museum,establishment,establishment,art_gallery,route,political,museum,park"
"grand palais,musée de montmartre,musée de lÉrotisme","museum,museum,museum"
"av des champs-Élysées,parc du champ de mars,place de la concorde","route,park,establishment"
"eiffel tower,jardin des tuileries","establishment,park"
pont neuf,establishment
"panthéon,arc de triomphe","establishment,establishment"
"eiffel tower,jardin des tuileries","establishment,park"
"eiffel tower,arc de triomphe","establishment,establishment"
"sainte chapelle,musée dorsay,mémorial des martyrs de la déportation,arc de triomphe du carrousel,eiffel tower,arc de triomphe","church,museum,establishment,establishment,establishment,establishment"
eiffel tower,establishment
place de la bastille,route
musée du louvre,museum
"hôtel des invalides,sainte chapelle,eiffel tower","museum,church,establishment"
grande arche de la défense,establishment
"basilique du sacré-cœur,panthéon","church,establishment"
eiffel tower,establishment
"musée du louvre,arc de triomphe,conciergerie","museum,establishment,museum"
"musée national eugène delacroix,eiffel tower","museum,establishment"
"panthéon,petit palais,place de la concorde,la seine,jardin des tuileries,pont neuf,arc de triomphe,jardin du luxembourg","establishment,museum,establishment,political,park,establishment,establishment,park"
"place de la concorde,arc de triomphe du carrousel,place de la madeleine,eiffel tower,arc de triomphe","establishment,establishment,route,establishment,establishment"
eiffel tower,establishment
"la seine,conciergerie","political,museum"
"eiffel tower,place du tertre,arc de triomphe,Église st-germain lauxerrois","establishment,route,establishment,church"
"place de la bastille,maison européenne de la photographie,centre pompidou","route,museum,museum"
gare montparnasse,transit_station
Église st-germain des prés,church
champs-Élysées,route
"basilique du sacré-cœur,place de la concorde,musée dart naïf max fourny,institut de france,jardin des tuileries,musée du luxembourg,grande arche de la défense,eiffel tower,pont neuf,place du tertre,forum des halles,arc de triomphe","church,establishment,museum,establishment,park,restaurant,establishment,establishment,establishment,route,political,establishment"
palais de tokyo,museum
eiffel tower,establishment
eiffel tower,establishment
"musée dart naïf max fourny,basilique du sacré-cœur,musée picasso","museum,church,museum"
"panthéon,arc de triomphe","establishment,establishment"
"basilique du sacré-cœur,parc du champ de mars,conciergerie,place de la concorde,musée du quai branly,musée de la monnaie de paris,musée du louvre,tour montparnasse,eiffel tower,av des champs-Élysées,jeu de paume,arc de triomphe","church,park,museum,establishment,museum,museum,museum,establishment,establishment,route,museum,establishment"
chapelle expiatoire,church
stade de france,establishment
jardin des plantes,park
"musée national du moyen age,eiffel tower,conciergerie","museum,establishment,museum"
musée de montmartre,museum
"catacombes de paris,hôtel des invalides,basilique du sacré-cœur,arc de triomphe du carrousel","cemetery,museum,church,establishment"
"musée dart naïf max fourny,arc de triomphe","museum,establishment"
arc de triomphe du carrousel,establishment
"la seine,jardin des tuileries,grande arche de la défense,catacombes de paris,jardin des plantes,arc de triomphe,jardin du luxembourg","political,park,establishment,cemetery,park,establishment,park"
"mémorial des martyrs de la déportation,hôtel de ville,musée du quai branly","establishment,local_government_office,museum"
"arc de triomphe,centre pompidou,parc de la villette,place de la concorde,place de la bastille,jardin des tuileries,parc de belleville,bois de vincennes,jardin du luxembourg,eiffel tower,cimetière du père lachaise,champs-Élysées,gare montparnasse","establishment,museum,park,establishment,route,park,park,park,park,establishment,cemetery,route,transit_station"
conciergerie,museum
"musée dorsay,musée de lorangerie,jardin du palais royal","museum,museum,park"
eiffel tower,establishment
"musée picasso,musée de montmartre,centre pompidou","museum,museum,museum"
"Église st-eustache,jardin des tuileries,arc de triomphe du carrousel","church,park,establishment"
"panthéon,jardin du luxembourg","establishment,park"
centre pompidou,museum
musée de montmartre,museum
"hôtel des invalides,basilique du sacré-cœur,conciergerie,place de la concorde,arc de triomphe du carrousel,jardin des tuileries,grande arche de la défense,eiffel tower,place des vosges,place du tertre,pont neuf","museum,church,museum,establishment,establishment,park,establishment,establishment,park,route,establishment"
"sainte chapelle,basilique du sacré-cœur,institut de france,eiffel tower,pont neuf,place du tertre,Église st-eustache,arc de triomphe","church,church,establishment,establishment,establishment,route,church,establishment"
"eiffel tower,arc de triomphe","establishment,establishment"
eiffel tower,establishment
"eiffel tower,centre pompidou","establishment,museum"
"musée rodin,musée carnavalet","museum,museum"
"stade de france,parc du champ de mars","establishment,park"
"musée du louvre,musée dorsay,centre pompidou","museum,museum,museum"
forum des halles,political
"institut du monde arabe,grande arche de la défense,palais de tokyo","library,establishment,museum"
arc de triomphe,establishment
institut du monde arabe,library
"bois de boulogne,eiffel tower,jardin des tuileries","park,establishment,park"
parc des buttes-chaumont,park
place de la concorde,establishment
"champs-Élysées,place de la bastille,hôtel de ville,arc de triomphe,bateaux mouches","route,route,local_government_office,establishment,restaurant"
"eiffel tower,arc de triomphe,conciergerie","establishment,establishment,museum"
place du tertre,route
musée de montmartre,museum
"hôtel des invalides,musée dorsay,eiffel tower","museum,museum,establishment"
eiffel tower,establishment
"institut de france,eiffel tower,arc de triomphe","establishment,establishment,establishment"
"place de la concorde,musée marmottan-monet,Église st-eustache,musée de lorangerie,eiffel tower,musée carnavalet,forum des halles,av des champs-Élysées,bourse de commerce,arc de triomphe","establishment,art_gallery,church,museum,establishment,museum,political,route,museum,establishment"
"eiffel tower,parc de la villette","establishment,park"
sorbonne,university
arc de triomphe,establishment
la seine,political
"arc de triomphe,place de la concorde","establishment,establishment"
"hôtel des invalides,musée rodin","museum,museum"
jardin des tuileries,park
basilique du sacré-cœur,church
arc de triomphe,establishment
musée du louvre,museum
"musée dart naïf max fourny,basilique du sacré-cœur,jardin du palais royal","museum,church,park"
eiffel tower,establishment
"musée jacquemart-andré,hôtel de ville,place des vosges,musée de montmartre,palais de tokyo,arc de triomphe,centre pompidou","museum,local_government_office,park,museum,museum,establishment,museum"
"grand palais,grande arche de la défense,panthéon,arc de triomphe","museum,establishment,establishment,establishment"
"eiffel tower,la seine","establishment,political"
sainte chapelle,church
musée national du moyen age,museum
"sainte chapelle,basilique du sacré-cœur,musée de lÉrotisme,musée dorsay,jardin des tuileries,place des vosges,eiffel tower,arc de triomphe","church,church,museum,museum,park,park,establishment,establishment"
eiffel tower,establishment
"sainte chapelle,musée de montmartre","church,museum"
place de la concorde,establishment
"musée rodin,jardin du luxembourg","museum,park"
"grande arche de la défense,arc de triomphe","establishment,establishment"
eiffel tower,establishment
"basilique de st-denis,palais de tokyo","church,museum"
"basilique du sacré-cœur,musée grévin,maison européenne de la photographie,musée dart naïf max fourny,hôtel de ville,place de la bastille,jardin des tuileries,arc de triomphe du carrousel,mémorial des martyrs de la déportation,place des vosges,dalí espace,jardin du palais royal","church,museum,museum,museum,local_government_office,route,park,establishment,establishment,park,art_gallery,park"
"basilique du sacré-cœur,musée dart naïf max fourny,musée dorsay,place des vosges,eiffel tower,musée de montmartre,dalí espace,place du tertre,arc de triomphe,bateaux mouches","church,museum,museum,park,establishment,museum,art_gallery,route,establishment,restaurant"
sainte chapelle,church
"basilique du sacré-cœur,arc de triomphe","church,establishment"
"basilique du sacré-cœur,place de la concorde,grande arche de la défense,eiffel tower,place vendôme,place du tertre,pont neuf,catacombes de paris","church,establishment,establishment,establishment,route,route,establishment,cemetery"
musée national du moyen age,museum
arc de triomphe,establishment
eiffel tower,establishment
"musée dart naïf max fourny,basilique du sacré-cœur","museum,church"
stade de france,establishment
"basilique du sacré-cœur,musée de lÉrotisme,grande arche de la défense,eiffel tower,jardin des plantes,arc de triomphe,jardin du luxembourg","church,museum,establishment,establishment,park,establishment,park"
"musée du louvre,basilique du sacré-cœur,eiffel tower","museum,church,establishment"
"palais de tokyo,grande arche de la défense,la seine,jardin du palais royal","museum,establishment,political,park"
"sainte chapelle,musée rodin","church,museum"
Église st-sulpice,church
basilique du sacré-cœur,church
eiffel tower,establishment
"jardin des plantes,pont neuf","park,establishment"
arc de triomphe,establishment
mémorial des martyrs de la déportation,establishment
"sainte chapelle,eiffel tower","church,establishment"
centre pompidou,museum
place de la concorde,establishment
"basilique du sacré-cœur,arc de triomphe","church,establishment"
eiffel tower,establishment
"basilique du sacré-cœur,grande arche de la défense,place vendôme,eiffel tower,jardin du luxembourg","church,establishment,route,establishment,park"
"mémorial des martyrs de la déportation,musée du montparnasse,arc de triomphe du carrousel","establishment,establishment,establishment"
grande arche de la défense,establishment
arc de triomphe,establishment
"parc du champ de mars,conciergerie,eiffel tower,catacombes de paris,arc de triomphe","park,museum,establishment,cemetery,establishment"
"av des champs-Élysées,place de la concorde","route,establishment"
arc de triomphe,establishment
institut de france,establishment
catacombes de paris,cemetery
"panthéon,petit palais,musée dorsay,place de la bastille,eiffel tower,musée de montmartre,centre pompidou","establishment,museum,museum,route,establishment,museum,museum"
eiffel tower,establishment
"institut du monde arabe,basilique du sacré-cœur,forum des halles,musée dart naïf max fourny,musée du quai branly,mémorial des martyrs de la déportation,tour montparnasse,place des vosges,eiffel tower,catacombes de paris","library,church,political,museum,museum,establishment,establishment,park,establishment,cemetery"
"eiffel tower,arc de triomphe,jardin des tuileries","establishment,establishment,park"
arc de triomphe,establishment
"hôtel des invalides,sainte chapelle,grand palais,eiffel tower,musée de montmartre,arc de triomphe,mosquée de paris","museum,church,museum,establishment,museum,establishment,mosque"
eiffel tower,establishment
musée de montmartre,museum
"stade de france,musée de montmartre","establishment,museum"
"grande arche de la défense,eiffel tower","establishment,establishment"
place de la concorde,establishment
musée de montmartre,museum
eiffel tower,establishment
place de la concorde,establishment
"petit palais,place de la concorde,jardin des tuileries,stade de france,pletzl,champs-Élysées,jardin du palais royal","museum,establishment,park,establishment,"" political"",route,park"
"jardin des tuileries,bois de vincennes,grand palais,musée de montmartre,av des champs-Élysées,arc de triomphe,centre pompidou,gare montparnasse","park,park,museum,museum,route,establishment,museum,transit_station"
place de la concorde,establishment
"place de la concorde,arc de triomphe,jardin des tuileries","establishment,establishment,park"
institut de france,establishment
"eiffel tower,arc de triomphe","establishment,establishment"
"musée du louvre,eiffel tower,arc de triomphe","museum,establishment,establishment"
"av des champs-Élysées,grande arche de la défense,arc de triomphe,gare montparnasse","route,establishment,establishment,transit_station"
panthéon,establishment
"sainte chapelle,eiffel tower,panthéon,arc de triomphe","church,establishment,establishment,establishment"
"sainte chapelle,eiffel tower","church,establishment"
eiffel tower,establishment
"promenade plantée,conciergerie","park,museum"
sorbonne,university
stade de france,establishment
centre pompidou,museum
"panthéon,la seine","establishment,political"
"musée rodin,bibliothèque nationale de france,parc du champ de mars,mémorial des martyrs de la déportation","museum,library,park,establishment"
"maison de victor hugo,arc de triomphe du carrousel,musée de lassistance publique-hôpitaux de paris,place des vosges,musée national eugène delacroix","museum,establishment,museum,park,museum"
centre pompidou,museum
arc de triomphe,establishment
"eiffel tower,arc de triomphe,jardin du palais royal","establishment,establishment,park"
place des vosges,park
eiffel tower,establishment
forum des halles,political
mosquée de paris,mosque
"hôtel des invalides,jardin des tuileries,musée de la monnaie de paris,grande arche de la défense,eiffel tower,arc de triomphe,jardin du luxembourg","museum,park,museum,establishment,establishment,establishment,park"
eiffel tower,establishment
"basilique du sacré-cœur,parc des buttes-chaumont,arc de triomphe du carrousel","church,park,establishment"
"eiffel tower,musée de montmartre","establishment,museum"
parc de bercy,park
"arc de triomphe,parc de la villette","establishment,park"
"stade de france,eiffel tower","establishment,establishment"
eiffel tower,establishment
arc de triomphe,establishment
"eiffel tower,arc de triomphe","establishment,establishment"
"musée rodin,musée du quai branly,musée picasso,jardin des tuileries,parc de belleville,place de la madeleine,jardin du palais royal,jardin du luxembourg","museum,museum,museum,park,park,route,park,park"
eiffel tower,establishment
"place de la concorde,musée dorsay,jardin des tuileries,jardin du luxembourg,eiffel tower,jardin du palais royal","establishment,museum,park,park,establishment,park"
centre pompidou,museum
eiffel tower,establishment
arc de triomphe du carrousel,establishment
eiffel tower,establishment
"conciergerie,place de la concorde,place de la bastille,arc de triomphe du carrousel,grand palais,eiffel tower,place vendôme,Église st-eustache,arc de triomphe,jardin du palais royal","museum,establishment,route,establishment,museum,establishment,route,church,establishment,park"
"parc du champ de mars,petit palais","park,museum"
"catacombes de paris,eiffel tower,musée de montmartre,conciergerie","cemetery,establishment,museum,museum"
musée de montmartre,museum
"av des champs-Élysées,eiffel tower,arc de triomphe","route,establishment,establishment"
stade de france,establishment
stade de france,establishment
"eiffel tower,place de la concorde","establishment,establishment"
"eiffel tower,musée de montmartre","establishment,museum"
arc de triomphe,establishment
"basilique du sacré-cœur,eiffel tower","church,establishment"
"eiffel tower,jardin du luxembourg","establishment,park"
arc de triomphe,establishment
"parc de bercy,parc de la villette","park,park"
sainte chapelle,church
"eiffel tower,centre pompidou,arc de triomphe","establishment,museum,establishment"
cimetière de montmartre,cemetery
eiffel tower,establishment
"eiffel tower,pont neuf","establishment,establishment"
stade de france,establishment
"catacombes de paris,Église st-sulpice","cemetery,church"
"eiffel tower,musée de montmartre,centre pompidou,la seine","establishment,museum,museum,political"
maison européenne de la photographie,museum
"grand palais,arc de triomphe,place de la concorde","museum,establishment,establishment"
musée national eugène delacroix,museum
eiffel tower,establishment
place du tertre,route
catacombes de paris,cemetery
"jardin des plantes,basilique du sacré-cœur,place de la bastille,jardin du palais royal","park,church,route,park"
"basilique du sacré-cœur,arc de triomphe","church,establishment"
"cité de la musique,grand palais,stade de france,musée de montmartre,parc de la villette","museum,museum,establishment,museum,park"
musée du louvre,museum
eiffel tower,establishment
conciergerie,museum
musée de montmartre,museum
