id,arc de triomphe,arc de triomphe du carrousel,arènes de lutèce,assemblée nationale,av des champs-Élysées,basilique de st-denis,basilique du sacré-cœur,bateaux mouches,bibliothèque nationale de france,bois de boulogne,bois de vincennes,bourse de commerce,catacombes de paris,centre pompidou,champs-Élysées,chapelle expiatoire,cimetière de montmartre,cimetière du père lachaise,cinémathèque française,cité de la musique,cité des sciences et de lindustrie,conciergerie,dalí espace,eiffel tower,fondation cartier pour lart contemporain,forum des halles,gare montparnasse,grand palais,grande arche de la défense,hôtel de ville,hôtel des invalides,institut de france,institut du monde arabe,jardin des plantes,jardin des tuileries,jardin du luxembourg,jardin du palais royal,jeu de paume,la seine,maison de balzac,maison de victor hugo,maison européenne de la photographie,manufacture des gobelins,mosquée de paris,musée atelier zadkine,musée bourdelle,musée carnavalet,musée cernuschi,musée cognacq-jay,musée dapper,musée dart moderne de la ville de paris,musée dart naïf max fourny,musée de la chasse et de la nature,musée de la contrefaçon,musée de la curiosité et de la magie,musée de la monnaie de paris,musée de la poste,musée de la vie romantique,musée de lassistance publique-hôpitaux de paris,musée de lorangerie,musée de lÉrotisme,musée de montmartre,musée des arts et métiers,musée des arts forains,musée des Égouts de paris,musée dorsay,musée du fumeur,musée du louvre,musée du luxembourg,musée du montparnasse,musée du quai branly,musée du vin,musée galliera de la mode de la ville de paris,musée grévin,musée guimet des arts asiatiques,musée jacquemart-andré,musée marmottan-monet,musée national dhistoire naturelle,musée national du moyen age,musée national eugène delacroix,musée nissim de camondo,musée picasso,musée rodin,musée Édith piaf,mémorial des martyrs de la déportation,palais de la découverte,palais de tokyo,panthéon,parc de belleville,parc de bercy,parc de la villette,parc des buttes-chaumont,parc du champ de mars,petit palais,place de la bastille,place de la concorde,place de la madeleine,place des vosges,place du tertre,place vendôme,pletzl,pont neuf,promenade plantée,quartier latin,sainte chapelle,sorbonne,stade de france,tour montparnasse,viaduc des arts,Église st-eustache,Église st-germain des prés,Église st-germain lauxerrois,Église st-sulpice,Église st-Étienne du mont
arc de triomphe,0,2.3,3.9,1.9,0.5,8.2,3.3,1,5.3,1.1,12.6,3,4.5,3.9,0.5,1.6,2.3,10.8,5.4,8,7.3,3.5,2.7,1.2,3.7,3.5,3.2,1.2,3.1,3.4,2.2,3.2,3.9,4.4,1.5,3.5,2.8,1.5,4.1,1.5,4.3,3.7,4.6,4.3,3.4,3.7,4,1.3,4,0.6,0.9,3,3.8,1.3,3.8,3.1,3.5,2.4,3.3,1.5,2.3,2.9,3.9,11.4,1,2.2,5,2.6,3.3,3.3,1.2,1.6,0.7,2.6,0.7,0.8,2,4.5,3.5,2.9,1.4,4.1,2.1,5.2,3.8,1.3,0.9,3.7,9.9,5.4,8,8.7,1.2,1.2,4.2,1.4,1.8,4.2,2.7,2.1,4.2,2.8,5.1,3.4,3.5,3.5,7.5,3.3,5.1,3.6,2.8,2.7,3.2,3.8
arc de triomphe du carrousel,2.9,0,1.8,1,2.5,11.1,3.6,2,3.1,3.6,5.5,0.8,3.2,1.6,2.5,1.8,2.5,8.2,3.1,4.2,4.3,1.4,2.9,2.2,2.4,1.2,2,1.3,6.1,1.1,2,0.9,1.8,2.3,0.7,2.1,0.9,1.1,1.8,2.9,2,1.4,2.6,2.2,2,3,1.8,2.5,1.7,3.5,2.4,2.4,1.6,3.5,1.5,0.8,2.3,2.1,1,1.1,2.4,3.1,1.6,4.2,1.8,0.7,2.7,138,1.5,2.2,1.9,2.9,2.2,1.4,2.2,2.4,3.8,2.4,1.4,1.6,2.5,1.8,1.4,3,1.7,1.5,2,1.7,3.3,3.2,4,3.4,2.2,1.4,1.9,1,1.5,1.9,3,1.3,2,0.5,2.9,1.3,1.4,1.5,10.4,2.1,2.9,1.3,1.4,0.5,1.4,1.7
arènes de lutèce,4.1,1.8,0,2.2,3.7,12.7,4.4,3.2,1.8,4.8,4.6,2.2,2.3,1.5,3.7,3,4,7.2,2.2,8.2,8.8,0.9,4.5,3.4,1.7,1.5,1.9,2.6,7.3,1,2.6,1.2,0.4,0.9,1.9,1,2.3,2.3,1.7,4.1,1.7,1.4,0.8,0.3,1.3,3,1.6,3.7,1.6,4.7,3.6,3.3,1.4,4.7,0.9,1.1,2.3,3.3,1,2.3,3.8,4.5,1.9,3.3,3,1.9,1.8,1.7,1.1,2.2,3.2,4.1,3.4,2.5,3.4,3.6,5,1,0.6,1.5,3.7,1.7,2.4,2.4,0.5,2.7,3.2,0.4,2.8,2.2,8.2,3.4,3.4,2.6,1,2.2,2.7,1.6,4.5,2.5,1.8,1.2,1.9,0.7,0.9,0.6,12,2,1.9,2.3,1.3,1.9,1.1,0.3
assemblée nationale,1.7,0.9,2,0,1.5,9.9,3.6,1.2,3.4,2.8,6.2,1.6,2.6,2.5,1.5,1.2,2.4,8.8,3.7,4.4,9,1.7,3,1.4,1.8,2.1,1.4,0.6,4.8,2,0.9,1.6,2,2.5,0.4,1.6,1.4,0.4,2.7,2.1,2.9,2.3,2.7,2.5,1.5,2.4,2.6,1.9,2.6,2.3,1.6,2.5,2.4,3,2.5,1.5,1.8,2,1.9,0.4,2.3,3.2,2.5,4.8,1,0.3,3.4,1.2,1.4,1.6,0.9,2.1,1.4,1.6,1.4,1.6,3,2.6,1.6,1,1.9,2.7,0.4,4,1.9,0.8,1.3,1.9,4.4,3.8,4.2,3.8,1,0.6,2.6,0.3,0.8,2.8,3.1,1,2.8,1.4,3.5,1.5,1.7,1.6,9.2,1.6,3.5,2.2,0.9,1.3,1.3,1.9
av des champs-Élysées,0.2,2.5,4.1,2,0,8.4,3.2,1.2,5.5,1.3,12.7,3.2,4.6,4,1,1.4,2.3,10.9,5.6,8.2,7.5,3.7,2.7,1.4,3.9,3.6,3.4,1.4,3.3,3.5,2.4,3.3,4,4.5,1.7,3.6,2.9,1.7,4.2,1.7,4.5,3.9,4.8,4.5,3.6,3.8,4.2,1.2,4.2,0.8,1.1,3,4,1.5,4,3.2,3.6,2.2,3.5,1.7,2.3,2.8,4.1,11.6,1.2,2.3,5.2,2.8,3.5,3.5,1.4,1.7,0.9,2.4,0.9,0.7,2.2,4.7,3.6,3.1,1.3,4.3,2.3,5.4,3.9,1.5,1,3.9,4.8,5.6,8.2,8.8,1.4,1.4,4.4,1.6,1.6,4.4,2.7,2,4.4,3,5.3,3.5,3.7,3.7,7.7,3.5,5.3,3.7,3,2.9,3.4,4
basilique de st-denis,7.6,9.7,12.7,9.3,7.9,0,4.9,8.4,11,7.3,9.5,10.4,14.6,6.4,7.9,7.1,5.2,7.7,11.5,4.9,4.2,13.1,5.1,8.9,14.8,6.7,13.8,8.6,9,12.7,9.6,13.4,12.4,11.9,8.9,13.8,8.2,8.9,6.6,9.1,9.3,12.8,12.9,12.4,10.8,13.7,9.3,6.4,6.8,8,8.3,4.7,6.6,7.5,12.3,13.3,14,5.5,12.9,8.9,5.2,5,5.8,10.6,8.4,9.6,8.6,10,10.7,15.2,8.6,9.2,8.1,5.7,8.1,6.9,8.4,11.9,13.1,10.3,6.5,9.3,9.5,8.5,12.7,8.7,8.3,13,6.8,10.6,4.9,5.6,8.9,8.6,12.3,7.5,7.3,9.3,5.1,7.7,9.6,10.2,12,13,13.1,13.2,0.9,10.7,12,6.4,10.2,10.1,10.6,12.9
basilique du sacré-cœur,2.9,3.7,4.9,3,3,4.6,0,3.6,10.5,5.6,9,3.2,5.5,3.1,3,1.9,1.4,7.2,11,4.5,3.8,4,1.3,4.1,4.7,3.4,4.3,2.8,7.3,3.7,3.8,4.6,4.8,4.4,2.7,4.4,2.8,2.7,3.3,4.4,3.6,4,5.6,5.3,4.3,5.3,3.5,2,3.5,3.5,3.8,1.3,3.3,5.9,4.1,4.4,5,1.7,3.6,2.7,1.4,1.2,2.5,10.1,3.6,3.1,3.7,2.9,4.3,4.8,3.8,4.5,3.6,2.6,3.6,2.4,6.8,4.4,4.4,3.9,1.9,3.6,3.6,3.9,4.7,3.1,3.7,4.7,3.6,10.2,4.5,2.8,4.1,2.8,3.6,2.5,2.3,3.6,1.4,2.5,3.7,4.2,4.4,4.3,4,4.5,3.9,4.8,4.4,3.1,3.7,4.1,4.2,4.7
bateaux mouches,1.4,1.3,2.8,0.9,1.2,9.5,3.5,0,4.2,2.4,6.8,2,3.5,2.9,1.2,1.6,2.6,9.4,4.4,9.4,8.7,2.5,2.9,1.4,2.6,2.5,2.2,0.5,4.5,2.4,1.3,2.2,2.8,3.3,0.8,2.4,1.8,0.8,3.1,1.8,3.3,2.7,3.5,3.3,2.3,2.8,3,1.8,3,2,1.2,2.9,2.8,2.7,2.8,2.1,2.5,2.4,2.3,0.8,2.5,3.1,2.9,5.4,0.9,1.1,4,1.6,2.2,2.3,1.1,1.7,1,2,1,1.2,2.6,3.4,2.4,1.9,1.8,3.1,1.1,4.2,2.7,0.3,0.8,2.7,4.5,4.4,9.4,4.2,1.4,0.5,3.2,0.7,1.2,3.2,3,1.4,3.2,1.8,4.1,2.3,2.5,2.4,8.8,2.3,4.1,2.6,1.7,1.7,2.1,2.7
bibliothèque nationale de france,5.4,3.1,1.8,3.5,5,10.9,10.9,4.5,0,9.6,2.7,3.5,5.8,2.6,5,4.3,5.3,5.4,0.8,6.3,6.9,2.2,11.1,4.7,2.6,2.8,2.8,3.8,13,2.1,4.4,2.5,1.5,0.9,3.2,2.9,3.6,3.6,2.8,10.1,2.2,2.1,1.5,1.4,2.5,7,2.2,5,2.7,10.8,4.9,4.6,2.6,10.4,1.7,2.4,3.2,4.6,2.2,3.6,5.1,10.9,3.2,0.9,4.3,3.2,2.2,3,2.7,3.5,4.4,5.4,4.7,3.8,4.7,4.9,9.4,1,2.2,3.3,5,2.3,3.9,2.9,1.7,4,4.5,2,3.4,0.4,6.3,7,4.7,3.9,1.7,3.5,4,2.2,11.1,3.7,2.5,2.4,1.4,2.1,2.2,2.3,10.2,3.2,1.4,3.6,3.1,3.2,2.6,1.9
bois de boulogne,1,3.1,4.7,2.6,1.3,7.3,5.8,1.8,10.1,0,11.6,3.8,7.3,4.6,1.3,2.3,3.1,9.8,11.2,7.1,6.4,4.3,4.5,2,7.5,4.2,4,2,2.4,4.1,2.9,3.9,4.6,11.6,2.3,4.2,3.5,2.3,4.8,1.1,5.1,4.5,9.4,5.1,4.1,6.5,4.8,2,4.7,1.2,1.7,5.6,4.6,0.8,4.5,3.8,6.7,3.2,4,2.3,3.1,4.6,4.6,10.3,1.8,2.9,10.7,3.3,4.1,4,2,1.9,1.5,3.3,1.5,1.6,0.4,11.7,4.2,3.7,2.1,4.9,2.9,10.7,4.5,2.1,1.6,4.5,9,10.4,7.1,7.7,2,1.9,5,2.1,2.5,4.9,4.5,2.9,5,3.6,11.8,4.1,4.3,4.3,6.6,4.1,11.8,4.3,3.5,3.5,4,4.5
