arc de triomphe,4.7
arc de triomphe du carrousel,0
arènes de lutèce,4.2
assemblée nationale,4.2
av des champs-Élysées,4.7
basilique de st-denis,4.6
basilique du sacré-cœur,4.7
bateaux mouches,4.3
bibliothèque nationale de france,4.4
bois de boulogne,4.3
bois de vincennes,4.4
bourse de commerce,4.3
catacombes de paris,4
centre pompidou,4.4
champs-Élysées,4.7
chapelle expiatoire,4.4
cimetière de montmartre,4.5
cimetière du père lachaise,4.6
cinémathèque française,4.4
cité de la musique,4.6
cité des sciences et de lindustrie,3.9
conciergerie,4.3
dalí espace,4.4
eiffel tower,4.6
fondation cartier pour lart contemporain,4.3
forum des halles,0
gare montparnasse,3
grand palais,4.5
grande arche de la défense,4.4
hôtel de ville,4.4
hôtel des invalides,4.6
institut de france,4.6
institut du monde arabe,4.2
jardin des plantes,4.5
jardin des tuileries,4.6
jardin du luxembourg,4.7
jardin du palais royal,4.7
jeu de paume,4.4
la seine,0
maison de balzac,4.1
maison de victor hugo,4.3
maison européenne de la photographie,4.4
manufacture des gobelins,4.4
mosquée de paris,4.5
musée atelier zadkine,4.3
musée bourdelle,4.5
musée carnavalet,4.2
musée cernuschi,4.4
musée cognacq-jay,4.3
musée dapper,4.6
musée dart moderne de la ville de paris,4.3
musée dart naïf max fourny,4.5
musée de la chasse et de la nature,0
musée de la contrefaçon,3.7
musée de la curiosité et de la magie,3.9
musée de la monnaie de paris,4.4
musée de la poste,4.5
musée de la vie romantique,4.2
musée de lassistance publique-hôpitaux de paris,4.5
musée de lorangerie,4.6
musée de lÉrotisme,3.8
musée de montmartre,4.5
musée des arts et métiers,4.5
musée des arts forains,4.6
musée des Égouts de paris,4
musée dorsay,4.7
musée du fumeur,4.4
musée du louvre,4.7
musée du luxembourg,4.3
musée du montparnasse,4.3
musée du quai branly,4.5
musée du vin,4.2
musée galliera de la mode de la ville de paris,4.4
musée grévin,4.3
musée guimet des arts asiatiques,4.6
musée jacquemart-andré,4.5
musée marmottan-monet,4.5
musée national dhistoire naturelle,4.5
musée national du moyen age,4.3
musée national eugène delacroix,4.1
musée nissim de camondo,4.7
musée picasso,4.4
musée rodin,4.6
musée Édith piaf,3.8
mémorial des martyrs de la déportation,4.5
palais de la découverte,4.5
palais de tokyo,4.4
panthéon,4.6
parc de belleville,4.2
parc de bercy,3.9
parc de la villette,4.4
parc des buttes-chaumont,4.6
parc du champ de mars,4.6
petit palais,4.6
place de la bastille,0
place de la concorde,4.5
place de la madeleine,4.3
place des vosges,4.6
place du tertre,0
place vendôme,0
pletzl,0
pont neuf,4.6
promenade plantée,4.5
quartier latin,0
sainte chapelle,4.7
sorbonne,4.2
stade de france,4.5
tour montparnasse,4.4
viaduc des arts,4.5
Église st-eustache,4.6
Église st-germain des prés,4.6
Église st-germain lauxerrois,4.6
Église st-sulpice,4.6
Église st-Étienne du mont,4.7
