id,arc de triomphe,arc de triomphe du carrousel,arènes de lutèce,assemblée nationale,av des champs-Élysées,basilique de st-denis,basilique du sacré-cœur,bateaux mouches,bibliothèque nationale de france,bois de boulogne,bois de vincennes,bourse de commerce,catacombes de paris,centre pompidou,champs-Élysées,chapelle expiatoire,cimetière de montmartre,cimetière du père lachaise,cinémathèque française,cité de la musique,cité des sciences et de lindustrie,conciergerie,dalí espace,eiffel tower,fondation cartier pour lart contemporain,forum des halles,gare montparnasse,grand palais,grande arche de la défense,hôtel de ville,hôtel des invalides,institut de france,institut du monde arabe,jardin des plantes,jardin des tuileries,jardin du luxembourg,jardin du palais royal,jeu de paume,la seine,maison de balzac,maison de victor hugo,maison européenne de la photographie,manufacture des gobelins,mosquée de paris,musée atelier zadkine,musée bourdelle,musée carnavalet,musée cernuschi,musée cognacq-jay,musée dapper,musée dart moderne de la ville de paris,musée dart naïf max fourny,musée de la chasse et de la nature,musée de la contrefaçon,musée de la curiosité et de la magie,musée de la monnaie de paris,musée de la poste,musée de la vie romantique,musée de lassistance publique-hôpitaux de paris,musée de lorangerie,musée de lÉrotisme,musée de montmartre,musée des arts et métiers,musée des arts forains,musée des Égouts de paris,musée dorsay,musée du fumeur,musée du louvre,musée du luxembourg,musée du montparnasse,musée du quai branly,musée du vin,musée galliera de la mode de la ville de paris,musée grévin,musée guimet des arts asiatiques,musée jacquemart-andré,musée marmottan-monet,musée national dhistoire naturelle,musée national du moyen age,musée national eugène delacroix,musée nissim de camondo,musée picasso,musée rodin,musée Édith piaf,mémorial des martyrs de la déportation,palais de la découverte,palais de tokyo,panthéon,parc de belleville,parc de bercy,parc de la villette,parc des buttes-chaumont,parc du champ de mars,petit palais,place de la bastille,place de la concorde,place de la madeleine,place des vosges,place du tertre,place vendôme,pletzl,pont neuf,promenade plantée,quartier latin,sainte chapelle,sorbonne,stade de france,tour montparnasse,viaduc des arts,Église st-eustache,Église st-germain des prés,Église st-germain lauxerrois,Église st-sulpice,Église st-Étienne du mont
arc de triomphe,0,8,17,9,4,19,19,5,20,5,24,12,23,17,4,8,14,26,21,17,16,15,16,6,17,14,19,6,13,13,12,12,16,18,8,16,12,8,18,8,20,15,22,20,16,19,18,7,18,4,4,17,16,6,15,12,17,13,13,8,15,18,17,21,6,10,24,9,15,15,7,8,4,14,3,4,9,19,15,13,7,19,10,25,16,6,4,16,26,19,17,21,6,6,17,7,9,19,16,12,20,10,21,14,15,15,15,16,21,16,12,10,14,17
arc de triomphe du carrousel,13,0,9,5,12,32,24,9,13,16,19,4,18,9,12,10,17,27,13,25,25,7,20,9,12,7,17,6,25,5,10,5,9,10,4,11,5,6,11,13,12,8,15,12,11,17,10,15,10,17,11,17,9,18,7,4,13,14,5,6,16,21,9,13,8,4,16,1,9,12,9,12,10,8,10,12,17,11,7,8,14,11,8,18,9,7,8,8,21,12,23,21,9,6,10,5,8,11,20,8,13,3,13,6,7,7,27,12,13,9,7,2,8,9
arènes de lutèce,19,10,0,11,18,28,27,16,9,23,16,13,15,10,18,17,24,23,10,20,22,6,27,15,10,9,18,12,32,6,16,7,2,4,10,7,13,12,12,19,11,8,5,2,9,19,11,21,11,23,17,20,9,25,5,6,14,20,6,12,23,28,12,10,14,10,13,10,7,13,15,18,16,15,16,18,24,5,4,10,20,11,14,15,3,13,15,2,18,8,20,20,15,13,6,11,14,11,28,15,13,7,10,4,6,3,24,12,10,15,9,11,7,2
assemblée nationale,9,5,10,0,8,29,21,6,16,13,23,9,15,14,8,10,16,30,17,27,25,8,18,6,9,11,13,3,22,10,5,9,9,11,4,9,9,4,15,10,17,12,15,13,9,13,15,11,15,13,8,17,13,15,12,8,10,14,10,4,16,20,14,17,5,2,20,6,8,9,7,9,7,10,7,9,14,12,8,6,10,16,3,22,9,4,5,9,25,15,24,23,5,3,13,3,6,16,19,8,17,7,16,7,8,8,24,9,16,13,4,7,7,10
av des champs-Élysées,1,9,18,10,0,20,19,6,21,6,25,13,24,18,1,8,14,27,22,18,17,16,16,7,18,15,20,7,14,14,13,13,17,19,9,17,13,9,19,9,21,16,23,21,17,20,19,7,19,5,5,17,17,7,16,13,18,13,14,9,15,18,18,22,7,11,25,10,16,16,8,9,5,13,4,4,10,20,16,14,7,20,11,26,17,7,5,17,27,20,18,22,7,7,18,8,9,20,16,11,21,11,22,15,16,16,16,17,22,17,13,11,15,18
basilique de st-denis,20,27,31,28,22,0,23,24,24,15,21,31,33,30,22,24,22,23,25,14,13,31,22,25,35,32,34,25,23,30,31,32,28,26,26,35,30,26,32,24,33,31,31,28,35,37,32,20,34,20,23,21,33,17,28,32,35,25,30,26,24,23,27,22,24,28,27,28,34,35,25,27,22,28,22,22,19,26,32,32,20,33,28,27,29,25,23,31,23,22,14,18,25,25,29,25,25,33,22,27,35,29,27,31,31,31,6,35,27,32,30,29,33,31
basilique du sacré-cœur,16,20,28,19,18,21,0,20,28,18,25,21,33,20,18,12,10,27,30,18,17,25,9,22,27,22,30,16,25,24,22,24,27,27,17,27,18,17,22,24,24,26,33,30,26,30,24,12,23,20,20,9,22,20,26,23,28,12,24,17,10,8,17,27,20,20,25,19,25,26,21,22,19,16,19,14,22,28,26,23,12,24,20,24,27,18,20,27,23,27,18,18,22,16,24,16,16,24,9,17,26,22,29,25,25,25,16,27,29,22,22,21,24,28
bateaux mouches,7,5,14,5,6,27,21,0,17,11,23,9,19,13,6,9,16,31,17,24,23,12,18,5,13,11,15,2,20,10,7,9,13,15,4,13,8,4,15,8,16,12,19,16,12,15,14,10,14,11,6,18,13,13,11,9,13,14,9,4,16,19,13,18,5,6,20,6,11,11,6,7,5,11,5,7,12,16,12,9,10,15,6,22,13,2,3,13,25,16,24,23,5,3,14,3,6,16,18,8,17,7,17,11,12,12,22,12,17,13,8,7,10,14
bibliothèque nationale de france,24,15,10,16,23,23,30,21,0,18,10,18,19,13,23,22,29,18,4,14,16,11,29,20,14,14,22,17,27,10,21,12,7,5,15,15,18,17,15,24,12,10,9,8,16,24,12,26,14,22,22,25,13,20,8,11,21,25,11,17,28,30,17,4,19,15,12,15,14,19,20,23,21,20,21,23,19,5,11,16,25,12,19,16,8,18,20,11,19,2,14,19,20,18,8,16,19,12,29,20,15,12,7,10,11,11,18,17,7,20,15,16,13,10
bois de boulogne,5,13,21,13,8,16,20,9,20,0,21,16,18,21,8,13,19,23,21,14,13,19,19,10,19,19,19,10,10,17,16,17,21,21,12,20,16,12,22,8,24,19,22,24,20,22,22,11,22,6,8,19,20,3,19,16,20,17,17,12,19,20,21,18,10,14,27,13,19,20,11,12,8,18,8,8,3,22,19,17,12,23,14,27,21,10,8,20,23,18,14,18,10,10,22,11,14,23,19,16,24,14,23,18,19,19,12,19,23,21,16,14,18,22
bois de vincennes,24,20,15,21,26,20,27,26,9,19,0,23,21,18,26,28,26,15,10,11,13,16,26,25,21,19,24,23,27,15,26,17,13,10,21,20,24,22,20,27,17,15,15,13,22,27,17,24,19,24,27,25,18,21,13,16,25,29,15,22,28,27,22,7,25,20,15,20,20,23,26,27,26,25,26,26,22,11,16,21,24,17,25,18,14,24,25,16,18,7,11,16,25,23,13,22,25,17,26,25,20,17,13,15,16,16,15,24,13,25,20,21,19,16
bourse de commerce,16,9,11,11,16,29,21,15,14,21,21,0,21,7,16,9,14,27,15,22,22,8,17,15,16,6,20,12,29,7,16,6,10,12,10,12,2,11,8,19,13,9,16,14,13,20,11,13,10,20,17,14,9,22,9,6,17,11,7,11,13,19,7,15,14,9,17,3,10,15,15,18,16,5,16,13,23,13,9,11,13,12,14,16,10,13,14,10,19,13,20,19,15,12,11,11,11,12,17,10,13,4,15,8,8,8,24,16,15,6,9,3,10,11
catacombes de paris,19,11,8,12,18,33,29,16,14,18,22,15,0,14,18,18,24,29,16,26,28,8,27,16,1,12,10,13,27,11,11,9,9,11,12,6,15,14,15,20,17,13,6,8,4,13,15,20,15,23,17,22,14,20,12,8,8,21,10,14,25,30,14,17,14,11,19,12,6,6,15,19,16,17,16,18,19,10,7,10,20,16,10,22,9,14,15,6,25,15,26,26,12,13,13,13,16,16,27,16,18,9,16,7,8,7,28,5,16,18,9,13,7,8
centre pompidou,18,9,7,10,17,30,23,15,11,22,17,11,18,0,17,15,20,25,11,24,23,5,23,15,14,5,19,12,31,4,15,6,7,9,9,9,11,11,2,19,7,6,13,10,11,20,5,19,5,22,16,16,4,24,5,5,15,17,3,11,18,24,8,12,14,9,14,9,8,14,15,17,16,11,16,17,23,10,5,10,18,6,14,14,7,13,14,6,16,10,21,18,15,12,8,11,14,6,23,14,8,4,11,4,5,5,25,14,11,11,9,10,8,7
champs-Élysées,1,9,18,10,1,20,19,6,21,6,25,13,24,18,0,8,14,27,22,18,17,16,16,7,18,15,20,7,14,14,13,13,17,19,9,17,13,9,19,9,21,16,23,21,17,20,19,7,19,5,5,17,17,7,16,13,18,13,14,9,15,18,18,22,7,11,25,10,16,16,8,9,5,13,4,4,10,20,16,14,7,20,11,26,17,7,5,17,27,20,18,22,7,7,18,8,9,20,16,11,21,11,22,15,16,16,16,17,22,17,13,11,15,18
