arc de triomphe,establishment
arc de triomphe du carrousel,establishment
arènes de lutèce,establishment
assemblée nationale,establishment
av des champs-Élysées,route
basilique de st-denis,church
basilique du sacré-cœur,church
bateaux mouches,restaurant
bibliothèque nationale de france,library
bois de boulogne,park
bois de vincennes,park
bourse de commerce,museum
catacombes de paris,cemetery
centre pompidou,museum
champs-Élysées,route
chapelle expiatoire,church
cimetière de montmartre,cemetery
cimetière du père lachaise,cemetery
cinémathèque française,movie_theater
cité de la musique,museum
cité des sciences et de lindustrie,movie_theater
conciergerie,museum
dalí espace,art_gallery
eiffel tower,establishment
fondation cartier pour lart contemporain,museum
forum des halles,political
gare montparnasse,transit_station
grand palais,museum
grande arche de la défense,establishment
hôtel de ville,local_government_office
hôtel des invalides,museum
institut de france,establishment
institut du monde arabe,library
jardin des plantes,park
jardin des tuileries,park
jardin du luxembourg,park
jardin du palais royal,park
jeu de paume,museum
la seine,political
maison de balzac,museum
maison de victor hugo,museum
maison européenne de la photographie,museum
manufacture des gobelins,museum
mosquée de paris,mosque
musée atelier zadkine,museum
musée bourdelle,museum
musée carnavalet,museum
musée cernuschi,museum
musée cognacq-jay,museum
musée dapper,museum
musée dart moderne de la ville de paris,museum
musée dart naïf max fourny,museum
musée de la chasse et de la nature,museum
musée de la contrefaçon,museum
musée de la curiosité et de la magie,museum
musée de la monnaie de paris,museum
musée de la poste,museum
musée de la vie romantique,museum
musée de lassistance publique-hôpitaux de paris,museum
musée de lorangerie,museum
musée de lÉrotisme,museum
musée de montmartre,museum
musée des arts et métiers,museum
musée des arts forains,museum
musée des Égouts de paris,museum
musée dorsay,museum
musée du fumeur,bar
musée du louvre,museum
musée du luxembourg,restaurant
musée du montparnasse,establishment
musée du quai branly,museum
musée du vin,museum
musée galliera de la mode de la ville de paris,museum
musée grévin,museum
musée guimet des arts asiatiques,museum
musée jacquemart-andré,museum
musée marmottan-monet,art_gallery
musée national dhistoire naturelle,museum
musée national du moyen age,museum
musée national eugène delacroix,museum
musée nissim de camondo,museum
musée picasso,museum
musée rodin,museum
musée Édith piaf,museum
mémorial des martyrs de la déportation,establishment
palais de la découverte,museum
palais de tokyo,museum
panthéon,establishment
parc de belleville,park
parc de bercy,park
parc de la villette,park
parc des buttes-chaumont,park
parc du champ de mars,park
petit palais,museum
place de la bastille,route
place de la concorde,establishment
place de la madeleine,route
place des vosges,park
place du tertre,route
place vendôme,route
pletzl,[ 'political
pont neuf,establishment
promenade plantée,park
quartier latin,political
sainte chapelle,church
sorbonne,university
stade de france,establishment
tour montparnasse,establishment
viaduc des arts,establishment
Église st-eustache,church
Église st-germain des prés,church
Église st-germain lauxerrois,church
Église st-sulpice,church
Église st-Étienne du mont,church
