arc de triomphe,establishment,1.5
arc de triomphe du carrousel,establishment,1.5
arènes de lutèce,establishment,1.5
assemblée nationale,establishment,1.5
av des champs-Élysées,route,1
basilique de st-denis,church,1.5
basilique du sacré-cœur,church,1.5
bateaux mouches,restaurant,1
bibliothèque nationale de france,library,1
bois de boulogne,park,1.5
bois de vincennes,park,1.5
bourse de commerce,museum,3
catacombes de paris,cemetery,1
centre pompidou,museum,3
champs-Élysées,route,1
chapelle expiatoire,church,1.5
cimetière de montmartre,cemetery,1
cimetière du père lachaise,cemetery,1
cinémathèque française,movie_theater,2
cité de la musique,museum,3
cité des sciences et de lindustrie,movie_theater,2
conciergerie,museum,3
dalí espace,art_gallery,3
eiffel tower,establishment,1.5
fondation cartier pour lart contemporain,museum,3
forum des halles,political,1.5
gare montparnasse,transit_station,1
grand palais,museum,3
grande arche de la défense,establishment,1.5
hôtel de ville,local_government_office,1.5
hôtel des invalides,museum,3
institut de france,establishment,1.5
institut du monde arabe,library,1
jardin des plantes,park,1.5
jardin des tuileries,park,1.5
jardin du luxembourg,park,1.5
jardin du palais royal,park,1.5
jeu de paume,museum,3
la seine,political,1.5
maison de balzac,museum,3
maison de victor hugo,museum,3
maison européenne de la photographie,museum,3
manufacture des gobelins,museum,3
mosquée de paris,mosque,1
musée atelier zadkine,museum,3
musée bourdelle,museum,3
musée carnavalet,museum,3
musée cernuschi,museum,3
musée cognacq-jay,museum,3
musée dapper,museum,3
musée dart moderne de la ville de paris,museum,3
musée dart naïf max fourny,museum,3
musée de la chasse et de la nature,museum,3
musée de la contrefaçon,museum,3
musée de la curiosité et de la magie,museum,3
musée de la monnaie de paris,museum,3
musée de la poste,museum,3
musée de la vie romantique,museum,3
musée de lassistance publique-hôpitaux de paris,museum,3
musée de lorangerie,museum,3
musée de lÉrotisme,museum,3
musée de montmartre,museum,3
musée des arts et métiers,museum,3
musée des arts forains,museum,3
musée des Égouts de paris,museum,3
musée dorsay,museum,3
musée du fumeur,bar,2
musée du louvre,museum,3
musée du luxembourg,restaurant,1
musée du montparnasse,establishment,1.5
musée du quai branly,museum,3
musée du vin,museum,3
musée galliera de la mode de la ville de paris,museum,3
musée grévin,museum,3
musée guimet des arts asiatiques,museum,3
musée jacquemart-andré,museum,3
musée marmottan-monet,art_gallery,3
musée national dhistoire naturelle,museum,3
musée national du moyen age,museum,3
musée national eugène delacroix,museum,3
musée nissim de camondo,museum,3
musée picasso,museum,3
musée rodin,museum,3
musée Édith piaf,museum,3
mémorial des martyrs de la déportation,establishment,1.5
palais de la découverte,museum,3
palais de tokyo,museum,3
panthéon,establishment,1.5
parc de belleville,park,1.5
parc de bercy,park,1.5
parc de la villette,park,1.5
parc des buttes-chaumont,park,1.5
parc du champ de mars,park,1.5
petit palais,museum,3
place de la bastille,route,1
place de la concorde,establishment,1.5
place de la madeleine,route,1
place des vosges,park,1.5
place du tertre,route,1
place vendôme,route,1
pletzl,political,1.5
pont neuf,establishment,1.5
promenade plantée,park,1.5
quartier latin,political,1.5
sainte chapelle,church,1.5
sorbonne,university,1
stade de france,establishment,1.5
tour montparnasse,establishment,1.5
viaduc des arts,establishment,1.5
Église st-eustache,church,1.5
Église st-germain des prés,church,1.5
Église st-germain lauxerrois,church,1.5
Église st-sulpice,church,1.5
Église st-Étienne du mont,church,1.5
